Time (seconds),strength
0.85,1009
0.96,1005
1.07,998
1.17,1011
1.27,997
1.38,1003
1.48,1005
1.59,1004
1.69,1001
1.79,993
1.90,1004
2.00,1009
2.11,999
2.21,1004
2.31,1002
2.42,998
2.52,1000
2.63,1000
2.73,1011
2.83,1006
2.94,1004
3.04,1005
3.15,1008
3.25,999
3.39,1005
3.49,1003
3.59,1006
3.70,1000
3.80,994
3.91,992
4.01,1004
4.11,998
4.22,1007
4.32,1015
4.43,994
4.53,1001
4.63,1010
4.74,994
4.84,1000
4.95,997
5.05,997
5.16,1002
5.26,1002
5.37,1011
5.47,995
5.57,1006
5.68,1002
5.78,990
5.89,1005
5.99,999
6.09,1006
6.23,1002
6.33,1016
6.43,1028
6.54,998
6.64,1014
6.75,976
6.85,981
6.95,1013
7.06,1001
7.16,997
7.27,1007
7.37,1004
7.48,994
7.58,1001
7.69,1003
7.79,1003
7.90,1006
8.01,996
8.11,1004
8.21,1000
8.32,993
8.42,1010
8.53,1001
8.63,999
8.73,1009
8.84,1000
8.97,994
9.08,1000
9.18,1006
9.29,1008
9.39,998
9.49,995
9.60,1004
9.70,1004
9.81,998
9.91,1004
10.01,999
10.12,1002
10.22,1003
10.33,1007
10.43,998
10.53,981
10.64,993
10.74,1010
10.85,1007
10.95,990
11.06,1021
11.16,997
11.27,1008
11.37,999
11.47,982
11.58,993
11.74,1006
11.84,995
11.95,995
12.05,1003
12.15,993
12.26,1001
12.36,990
12.47,1012
12.57,1006
12.67,998
12.78,1002
12.88,994
12.99,998
13.09,1000
13.19,1009
13.30,1005
13.41,1007
13.51,1002
13.61,1007
13.72,1001
13.83,1007
13.93,996
14.03,1008
14.14,1004
14.27,988
14.37,1006
14.48,1004
14.58,1006
14.69,1006
14.79,1007
14.89,996
15.00,997
15.10,1008
15.21,998
15.31,1000
15.41,1000
15.52,1003
15.63,999
15.73,1003
15.83,1008
15.94,1001
16.04,1008
16.15,997
16.25,999
16.35,994
16.46,1000
16.56,1001
16.67,1005
16.80,992
16.91,1000
17.01,998
17.11,1009
17.22,1017
17.32,992
17.43,1009
17.53,1001
17.63,999
17.74,1000
17.84,1007
17.95,1001
18.05,1000
18.15,1003
18.26,1014
18.36,1003
18.47,1004
18.57,999
18.68,992
18.78,1001
18.89,1010
18.99,1006
19.09,994
19.20,1005
19.33,1004
19.43,1002
19.54,995
19.64,997
19.75,1002
19.85,1001
19.95,995
20.06,1002
20.16,998
20.27,1003
20.37,996
20.48,1011
20.58,1003
20.69,1002
20.79,1008
20.89,1005
21.00,1004
21.11,1007
21.21,1008
21.31,1000
21.42,1012
21.52,993
21.63,981
21.76,1006
21.89,1004
21.99,1007
22.09,1005
22.20,1002
22.30,1013
22.41,998
22.51,998
22.61,1009
22.72,1000
22.82,996
22.93,1003
23.03,1010
23.13,1002
23.24,1306
23.34,1332
23.45,976
23.55,1043
23.65,950
23.76,829
23.86,891
23.97,1070
24.07,1089
24.17,914
24.29,1044
24.41,1023
24.51,1046
24.62,948
24.73,1001
24.83,914
24.93,864
25.04,1413
25.14,907
25.25,994
25.35,873
25.45,999
25.56,940
25.66,1053
25.77,975
25.87,1035
25.98,1085
26.09,933
26.19,935
26.29,990
26.40,1140
26.50,678
26.61,1256
26.71,873
26.81,1320
26.95,1160
27.05,936
27.16,1210
27.26,927
27.37,770
27.47,1185
27.57,949
27.68,1196
27.78,1136
27.89,730
27.99,969
28.09,1896
28.20,1099
28.30,1096
28.41,922
28.51,783
28.61,1488
28.72,1496
28.82,1480
28.93,1216
29.03,882
29.13,1184
29.24,775
29.34,863
29.48,1015
29.58,1123
29.69,808
29.79,1018
29.89,857
30.00,934
30.10,1304
30.21,1056
30.31,1080
30.41,612
30.52,1040
30.62,1064
30.73,2095
30.83,1391
30.93,1087
31.04,852
31.14,810
31.25,524
31.35,728
31.45,1098
31.56,1562
31.66,1347
31.77,1243
31.87,1210
32.03,829
32.13,1356
32.23,1243
32.34,1022
32.44,751
32.55,787
32.65,1082
32.75,1296
32.86,1486
32.96,1292
33.07,1201
33.17,1479
33.27,1370
33.38,966
33.48,671
33.59,1504
33.69,2270
33.79,1410
33.90,2207
34.00,1453
34.11,2599
34.21,1245
34.31,1130
34.42,709
34.55,683
34.65,1334
34.76,1823
34.87,2190
34.97,1724
35.07,1285
35.18,1276
35.28,1492
35.39,1390
35.49,1365
35.59,1543
35.70,1381
35.80,987
35.91,605
36.01,757
36.11,1392
36.22,1742
36.32,1153
36.43,960
36.53,1263
36.63,1234
36.74,1220
36.84,1008
36.95,858
37.08,850
37.18,1395
37.29,1910
37.39,780
37.49,995
37.60,937
37.70,917
37.81,924
37.91,1190
38.01,1590
38.12,1087
